Appliances,Bedrooms,DateListed,Description,FullBathrooms,HalfBathrooms,MlsId,MlsName,Price,Rooms,StreetAddress,ThreeQuarterBathrooms
"Built-Ins,Microwave,RangeOven",3,2016-03-16 00:00:00,Gorgeous oceanfront home with views to Point Dume and direct beach access. This beach house is ideal for entertaining with a kitchen open to a great room and ocean front deck. Possible fourth bedroom ,3,1,16106762,CLAW,25000.00,"bedrooms,bathrooms",27086 MALIBU COVE COLONY DR,
"Built-Ins,Microwave,Built-In Gas,Cooktop - Gas,Double Oven,Range Hood",2,2016-03-25 00:00:00,"his designer, custom architectural remodel on the charming Breeze walk-street is the epitome of luxurious and efficient living. Walls of warm reclaimed wood line the architectural interior, while expa",1,1,16109128,CLAW,6500.00,"bedrooms,bathrooms",36 BREEZE AVE,
"Built-Ins,Range Hood,RangeOven",3,2016-04-12 00:00:00,"Welcome to an oasis over looking the Pacific Ocean, where crashing waves and vivid sunsets create the quintessential Beach living environment. The controlled access exterior entry sets the tone for th",3,,16114818,CLAW,5800000.00,"bedrooms,bathrooms",31652 BROAD BEACH RD,
,3,2016-04-13 00:00:00,"Beautiful traditional Spanish in the heart of Westwood! Charming original details include high, vaulted ceilings in living room, cozy wood-burning fireplace, arched doorways, shelving alcoves, painted",2,,16115130,CLAW,5499.00,"bedrooms,bathrooms",1912 KELTON AVE,
,0,2016-04-14 00:00:00,"NEW PROJECT - SHOVEL READY. *NOTE* This project has Ready To Issue (RTI) PERMITS because the Design Review Board has approved this development, for the Mulholland Scenic Parkway Corridor, in addition ",,,16115640,CLAW,798000.00,,11258 Laurie Drive,
"Built-In BBQ,RangeOven",5,2016-04-25 00:00:00,"Beautiful estate with panoramic ocean views located in the gated community of Ramirez Canyon. This 5 bed, 5 bath features an open floor plan with natural light and stunning ocean & mountain views thro",4,,16118008,CLAW,6995000.00,"bedrooms,bathrooms",28011 PAQUET PL,
,3,2016-05-06 00:00:00,A prime flat ~1.5 acre lot w/ a unique use of modern finishes & innovative design by Vitus Matare. This private gated single story marvel is adorned w/ mature trees ranging from avocados to evergreens,3,1,16122648,CLAW,6649000.00,"bedrooms,bathrooms",6237 BONSALL DR,
"Built-In BBQ,Built-Ins,Microwave,RangeOven",6,2016-05-16 00:00:00,"Unlike any other luxury opportunity, this beautiful Malibu compound offers a flat acre w/ over 120' of beach frontage; a lot depth extending 400'! A gated entrance, simple yet dignified, opens to a 2-",7,1,16125100,CLAW,150000.00,"bedrooms,bathrooms",0 BROAD BEACH RD,
,4,2016-05-26 00:00:00,"Nestled in the heart of the Santa Monica Mountains, this serene setting invites you to hike, climb, or horseback ride throughout the day, then relax to the sounds of nature narrating the clear stellar",2,,16129206,CLAW,5975.00,"bedrooms,bathrooms",31341 BIRDELLA RD,
,0,2016-06-02 00:00:00,Build your Malibu dream home! Flat lot on almost one-half acre with pristine ocean views on the ocean side of PCH. Gated and private building site including deeded beach rights to one of the most beau,,,16130744,CLAW,2450000.00,,32036 PACIFIC COAST HWY,
,0,2016-06-05 00:00:00,This approx: 59 ACRE DEVELOPMENT SITE consists of SIX vacant lots. These lots sit on the back and the front side of a hill with a fire road running across the top part of the hill. The largest lot whi,,,16132084,CLAW,2888000.00,,888 Blackmore DR,
"Built-In BBQ,Microwave,RangeOven",3,2016-06-06 00:00:00,Rare 98ft Ocean Front Classic Beauty reminiscent of glamorous days from a bygone era. Magnanimous rms paneled & floored w/ rain forest woods ooze casual elegance ala the Titanic. From the street you'l,5,,16132158,CLAW,27500.00,"bedrooms,bathrooms",19252 PACIFIC COAST HWY,
RangeOven,3,2016-07-15 00:00:00,"Tranquility awaits at this 1935 Traditional hillside retreat in the coveted Los Feliz Oaks. Tucked away in a quiet cul-de-sac, this home boasts a dramatic living room with beamed ceilings, a decorativ",2,1,16133142,CLAW,1699000.00,"bedrooms,bathrooms",1970 N GRAMERCY PL,
,0,2016-06-11 00:00:00,"High up in the Hollywood Hills, are 6 contiguous flat lots with Double Sided views, totaling approx: 17,400 SF. All 6 lots have superb views of both the City of Los Angeles AND Trousdale Estates. APN ",,,16134056,CLAW,1498000.00,,9229 Crescent Drive,
,0,2016-06-14 00:00:00,"COMPOUND OPPORTUNITY HIDDEN IN PLAIN SIGHT.10 contiguous VACANT LOTS ONLY, (there is NO house) currently on this property totaling approx: 2.5 acres which includes an APPROX: 18,000 SF flat pad. Once ",,,16134704,CLAW,1298000.00,,2401 Laurel Canyon Boulevard,
,0,2016-06-14 00:00:00,"RESIDENTIAL DEVELOPMENT SITE: Consisting of 10 vacant lots on approx: 32 acres, with several BIG FLAT PADS and SWEEPING VALLEY VIEWS of San Fernando Valley, Warner Center and the Mountains. Reports ar",,,16134756,CLAW,1298000.00,,24808 Woolsey Canyon RD,
"Range Hood,Microwave,Cooktop - Gas,Oven-Gas",2,2016-06-16 00:00:00,"Location, location, location! Charming Mediterranean style home in the highly desirable Santa Monica Canyon. This home is customized throughout with a gourmet cooks kitchen with imported Italian grani",2,,16134906,CLAW,1749000.00,"bedrooms,bathrooms",386 ENTRADA DR,
"Built-Ins,Range Hood,RangeOven",3,2016-06-16 00:00:00,"Perched above a cul-de-sac in the Hollywood Hills, this Dramatic newly constructed home is of the highest quality. Steel, concrete and glass with a clean modern aesthetic and a bright inviting atmosph",3,,16135516,CLAW,2195000.00,"bedrooms,bathrooms",7350 PACIFIC VIEW DR,
"Built-In BBQ,Built-Ins,RangeOven",5,2016-07-06 00:00:00,"NEWLY PRICED TO SELL! Iconic Malibu living abounds in this architectural oasis atop a generous 4.25 acres within the exclusive Serra Retreat. Recently updated by a celebrated designer, the home offers",5,2,16136820,CLAW,17500000.00,"bedrooms,bathrooms",3464 SWEETWATER MESA RD,
"Range Hood,Microwave",2,2016-06-22 00:00:00,"Location,location,location. Located on one of BH's premier streets San Ysidro, this home is waiting for its next homeowner to put their magical touch on it. This home has 2 beds and 2 baths with an op",2,,16137056,CLAW,2035000.00,"bedrooms,bathrooms",1422 SAN YSIDRO DR,
"Built-In BBQ,RangeOven",4,2016-06-24 00:00:00,This beautiful 4 bedroom/4.5 bath is situated on approximately 1 acre with phenomenal mountain views in a tranquil setting and located in a gated community. The home offers a gourmet kitchen with gran,4,1,16137086,CLAW,3195000.00,"bedrooms,bathrooms",6225 GAYTON PL,
"Built-In BBQ,Built-Ins,Range Hood,Microwave,RangeOven",5,2016-07-06 00:00:00,"Designed by renowned architect Walter Scott Perry in the classic modern Bauhaus tradition, this newly remodeled, 5 bedroom & 6 bathroom contemporary home is sited on a serene, half-acre knoll in Bel A",5,1,16141262,CLAW,34999.00,"bedrooms,bathrooms",1116 LINDA FLORA DR,
Built-In BBQ,3,2016-07-11 00:00:00,"An hour outside of Los Angles with country and ocean views of Ojai sits Flying D Ranch. The ultimate ranch - surrounded by a seasonal creek and expansive terrain. Consisting of 1,281 acres and 7 parce",2,1,16142180,CLAW,20000000.00,"bedrooms,bathrooms",2317 Dickenson RD,
Built-In Gas,3,2016-07-21 00:00:00,"MOTIVATED SELLER! BRING US AN OFFER!! Perfectly situated between the Wilshire Country Club and the Los Angeles Tennis Club, come see this charming Spanish 3-bedroom house with central air and incredib",1,,16142204,CLAW,1399000.00,"bedrooms,bathrooms",514 LILLIAN WAY,
"Built-Ins,Range Hood,Microwave,RangeOven",6,2016-07-18 00:00:00,"CENT'ANNI Estate is an alluring 20 acre property amidst the picturesque countryside of Santa Ynez in the secluded, idyllic setting of Los Olivos. This is a once in a lifetime opportunity to acquire a ",3,,16144050,CLAW,5495000.00,"bedrooms,bathrooms",2600 Canada Este RD,
,7,2016-07-21 00:00:00,"Incredible opportunity to own this classic French Revival sitting on over 11,000 square feet of beach front land right in the middle of Santa Monica's famed Gold Coast. With 59 feet of beachfront, it ",7,,16145020,CLAW,10500000.00,"bedrooms,bathrooms",602 PALISADES BEACH RD,
